article_id,link,title,main_category,category_1,category_2,category_3,category_4,suprise_r1,suprise_r2,suprise_r3,like_r1,like_r2,like_r3,c1_familiarity_r1,c1_familiarity_r2,c1_familiarity_r3,c2_familiarity_r1,c2_familiarity_r2,c2_familiarity_r3,c3_familiarity_r1,c3_familiarity_r2,c3_familiarity_r3,c4_familiarity_r1,c4_familiarity_r2,c4_familiarity_r3
272070,http://www.medicalnewstoday.com/articles/314175.php,Winter conception increases mothers' diabetes risk,Pregnancy / Obstetrics,Pregnancy / Obstetrics,Diabetes,,,5,3,5,5,4,2,4,2,5,4,3,2,,,,,,
55541,http://www.medicalnewstoday.com/articles/71741.php,Greater Risk Of Depression In Persistent Smokers  Than Never Smokers,Smoking / Quit Smoking,Smoking / Quit Smoking,Depression,,,2,4,3,3,3,1,4,4,3,4,4,1,,,,,,
268325,http://www.medicalnewstoday.com/articles/310397.php,Same gene links blood sugar problems in Down syndrome and Type 2 diabetes,Genetics,Genetics,Diabetes,,,3,4,3,4,4,3,4,4,4,3,3,4,,,,,,
268928,http://www.medicalnewstoday.com/articles/311006.php,Is Okra Good for Diabetes?,Diabetes,Diabetes,Nutrition / Diet,,,3,4,5,3,4,5,4,4,1,4,4,3,,,,,,
257020,http://www.medicalnewstoday.com/articles/298726.php,Colorful potatoes could pack powerful cancer prevention punch,Colorectal Cancer,Colorectal Cancer,Nutrition / Diet,,,5,4,4,4,4,5,1,3,1,2,3,4,,,,,,
28118,http://www.medicalnewstoday.com/articles/37476.php,Persistent Fatigue May Be The Best Way To Predict Onset Of Postpartum Depression,Women's Health / Gynecology,Women's Health / Gynecology,Depression,,,2,2,2,2,4,4,1,5,4,5,4,5,,,,,,
33371,http://www.medicalnewstoday.com/articles/44060.php,Revolution In The Fight Against Cancer & Viruses,Biology / Biochemistry,Infectious Diseases / Bacteria / Viruses,Cancer / Oncology,,,3,2,3,4,2,3,2,4,4,2,4,4,,,,,,
31931,http://www.medicalnewstoday.com/articles/42206.php,Doctors Learn More About Diagnosing Rare Form Of Cancer,Cancer / Oncology,Cancer / Oncology,GastroIntestinal / Gastroenterology,,,3,3,4,3,4,5,2,5,4,2,5,5,,,,,,
266773,http://www.medicalnewstoday.com/articles/308800.php,Outdoor light has role in reducing short-sightedness in kids,Eye Health / Blindness,Eye Health / Blindness,Pediatrics / Children's Health,,,4,2,2,4,5,2,2,4,2,4,3,2,,,,,,
268698,http://www.medicalnewstoday.com/articles/310773.php,Children born late seem to score better on cognitive tests,Pediatrics / Children's Health,Pediatrics / Children's Health,Pregnancy / Obstetrics,,,4,4,2,3,3,4,2,2,2,2,2,2,,,,,,
272022,http://www.medicalnewstoday.com/articles/314127.php,Red is good. The brain uses color to help us choose what to eat,Neurology / Neuroscience,Neurology / Neuroscience,Nutrition / Diet,,,2,3,3,4,4,3,2,2,1,5,4,4,,,,,,
269087,http://www.medicalnewstoday.com/articles/311168.php,Children's nutrition influenced by local neighborhoods,Pediatrics / Children's Health,Pediatrics / Children's Health,Nutrition / Diet,,,4,2,1,4,4,1,4,4,5,3,2,4,,,,,,
25697,http://www.medicalnewstoday.com/articles/34281.php,Patients With Depression Skip Medications And Have Elevated Levels Of Norepinephrine,Depression,Depression,Heart Disease,,,4,4,4,5,3,5,3,2,5,5,4,2,,,,,,
257092,http://www.medicalnewstoday.com/articles/298798.php,Carbonated drinks linked with out-of-hospital cardiac arrest of cardiac origin,Cardiovascular / Cardiology,Cardiovascular / Cardiology,Nutrition / Diet,,,4,5,3,4,4,3,3,2,4,4,2,4,,,,,,
35483,http://www.medicalnewstoday.com/articles/46766.php,New Drug For Stomach Cancer Expected By End Of The Year,Cancer / Oncology,Cancer / Oncology,GastroIntestinal / Gastroenterology,,,3,3,3,3,4,3,1,4,4,1,5,4,,,,,,
36187,http://www.medicalnewstoday.com/articles/47611.php,Study Indicates Heart Damage From Some Cancer Drugs Worsens Over The Years,Cancer / Oncology,Cancer / Oncology,Cardiovascular / Cardiology,,,5,3,3,3,5,3,4,4,4,4,5,4,,,,,,
273415,http://www.medicalnewstoday.com/articles/315531.php,"Feed a cold, starve a fever? Not so fast, according to Salk research",Infectious Diseases / Bacteria / Viruses,Infectious Diseases / Bacteria / Viruses,Nutrition / Diet,,,3,3,1,3,4,4,4,3,4,4,4,5,,,,,,
16011,http://www.medicalnewstoday.com/articles/21787.php,Yeast Finding Links Processes In Heart Disease And Cancer,Heart Disease,Heart Disease,Cancer / Oncology,,,3,4,2,4,2,4,4,3,2,3,2,3,,,,,,
271358,http://www.medicalnewstoday.com/articles/313455.php,New immune cell subset associated with progression to type 1 diabetes,Diabetes,Diabetes,Immune System / Vaccines,,,4,3,1,2,4,3,4,4,4,2,2,4,,,,,,
37521,http://www.medicalnewstoday.com/articles/49307.php,Violence At Work Significantly Boosts Clinical Depression Risk,Depression,Depression,Public Health,,,1,4,2,3,4,3,5,4,4,5,3,3,,,,,,
267568,http://www.medicalnewstoday.com/articles/309617.php,"Parents and social media: do as I say, not as I do",Pediatrics / Children's Health,Pediatrics / Children's Health,Psychology / Psychiatry,,,2,2,1,3,3,1,4,2,2,1,3,3,,,,,,
270664,http://www.medicalnewstoday.com/articles/312758.php,Fungi contribute to delayed healing of chronic wounds,Biology / Biochemistry,Diabetes,Dermatology,,,3,5,2,2,4,2,2,3,4,2,4,2,,,,,,
36525,http://www.medicalnewstoday.com/articles/48072.php,New Mothers Should Be Screened Regularly For Postpartum Depression,Depression,Depression,Pregnancy / Obstetrics,,,2,3,1,4,4,3,4,3,5,2,2,4,,,,,,
30874,http://www.medicalnewstoday.com/articles/40902.php,Transition To Menopause Associated With New Onset Of Depressive Symptoms,Menopause,Menopause,Depression,,,2,2,2,2,2,2,3,3,2,5,4,3,,,,,,
31558,http://www.medicalnewstoday.com/articles/41747.php,Ginger Kills Ovarian Cancer Cells,Ovarian Cancer,Ovarian Cancer,Cancer / Oncology,,,4,5,5,4,5,5,2,2,4,4,3,4,,,,,,
383,http://www.medicalnewstoday.com/articles/4058.php,Sunscreen blamed for cancer,Cancer / Oncology,Cancer / Oncology,Melanoma / Skin Cancer,,,4,5,3,3,5,4,2,2,3,1,2,1,,,,,,
272051,http://www.medicalnewstoday.com/articles/314156.php,Eating fiber keeps gut microbes from eating you,GastroIntestinal / Gastroenterology,GastroIntestinal / Gastroenterology,Nutrition / Diet,,,4,5,4,3,5,5,1,2,2,4,5,2,,,,,,
246,http://www.medicalnewstoday.com/articles/3920.php,Breast fluid a better option for detecting cancer,Cancer / Oncology,Cancer / Oncology,Flu / Cold / SARS,,,3,2,2,4,5,4,4,3,1,3,3,2,,,,,,
34139,http://www.medicalnewstoday.com/articles/45076.php,Radiation Therapy Shown To Increase Survival In Certain Lung Cancer Patients,Cancer / Oncology,Cancer / Oncology,Schizophrenia,,,3,3,2,4,3,2,4,1,3,5,1,1,,,,,,
34115,http://www.medicalnewstoday.com/articles/45051.php,Race Affects Prostate Cancer Survival Rates,Prostate / Prostate Cancer,Prostate / Prostate Cancer,Cancer / Oncology,,,4,5,5,4,3,4,3,1,2,3,1,3,,,,,,
205433,http://www.medicalnewstoday.com/articles/245312.php,Music exposure benefits babies' brains,Pediatrics / Children's Health,Pediatrics / Children's Health,Neurology / Neuroscience,,,2,2,2,3,4,4,3,1,4,2,2,1,,,,,,
256151,http://www.medicalnewstoday.com/articles/297828.php,Want to improve your health? Focus on nutrition and not weight,Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,1,5,1,2,5,2,4,4,3,4,5,3,,,,,,
31283,http://www.medicalnewstoday.com/articles/41402.php,Legume Compounds May Help Cancer Treatment,Nutrition / Diet,Nutrition / Diet,Cancer / Oncology,,,5,4,4,5,3,4,3,5,3,1,2,3,,,,,,
273791,http://www.medicalnewstoday.com/articles/315911.php,Researcher investigates why mothers sing to their babies,Pediatrics / Children's Health,Pediatrics / Children's Health,Psychology / Psychiatry,,,4,2,3,5,3,4,4,4,1,1,2,1,,,,,,
1149,http://www.medicalnewstoday.com/articles/4828.php,Distress increases risk of developing Alzheimer's,Depression,Depression,Alzheimer's / Dementia,,,3,1,2,4,3,4,3,4,5,4,1,5,,,,,,
268534,http://www.medicalnewstoday.com/articles/310608.php,Baby talk words with repeated sounds help infants learn language,Pediatrics / Children's Health,Pediatrics / Children's Health,Neurology / Neuroscience,,,2,1,3,5,4,4,5,3,2,2,3,3,,,,,,
268876,http://www.medicalnewstoday.com/articles/310953.php,Healthy vegetarian diet reduces type 2 diabetes risk substantially,Nutrition / Diet,Nutrition / Diet,Diabetes,,,1,4,2,5,4,3,3,3,3,4,2,4,,,,,,
267728,http://www.medicalnewstoday.com/articles/309783.php,Children are diagnosed with autism at younger ages since push for universal screening,Autism,Autism,Pediatrics / Children's Health,,,2,2,3,2,4,3,2,2,2,2,2,4,,,,,,
268446,http://www.medicalnewstoday.com/articles/310519.php,"Rates of obesity, diabetes lower in neighborhoods that are more walkable",Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Diabetes,,,1,1,2,3,2,2,4,3,4,4,3,3,,,,,,
273504,http://www.medicalnewstoday.com/articles/315622.php,Toward understanding when eating soy might help or harm in breast cancer treatment,Breast Cancer,Breast Cancer,Nutrition / Diet,,,2,3,2,3,3,3,1,1,3,4,4,4,,,,,,
271345,http://www.medicalnewstoday.com/articles/313442.php,New approach to treating type 1 diabetes aims to limit damage caused by immune system,Diabetes,Diabetes,Immune System / Vaccines,,,2,2,4,2,3,4,1,2,2,1,2,2,,,,,,
37337,http://www.medicalnewstoday.com/articles/49088.php,Cincinnati Surgeon's Pediatric Laparoscopic Liver Surgery A World First,Liver Disease / Hepatitis,Liver Disease / Hepatitis,Cancer / Oncology,,,3,4,4,4,4,3,3,1,2,4,2,3,,,,,,
922,http://www.medicalnewstoday.com/articles/4599.php,Research Links Music and Listeners' Emotions,Psychology / Psychiatry,Psychology / Psychiatry,Depression,,,3,1,1,3,1,3,4,1,5,4,5,5,,,,,,
272181,http://www.medicalnewstoday.com/articles/314286.php,Protein packaging may cause the immune attacks of type 1 diabetes,Diabetes,Diabetes,Immune System / Vaccines,,,4,3,2,4,2,4,3,4,5,4,4,4,,,,,,
272709,http://www.medicalnewstoday.com/articles/314819.php,Can we blame delicious food for our holiday weight gain?,Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,3,3,4,5,4,4,3,4,4,4,4,4,,,,,,
268956,http://www.medicalnewstoday.com/articles/311036.php,What's the Best Bread for People with Diabetes?,Diabetes,Diabetes,Nutrition / Diet,,,3,3,2,4,4,3,3,3,4,3,5,5,,,,,,
268916,http://www.medicalnewstoday.com/articles/310993.php,Researchers discover heart drug could reduce diabetes related blindness,Diabetes,Diabetes,Eye Health / Blindness,,,3,5,4,2,5,4,2,4,4,2,4,2,,,,,,
269883,http://www.medicalnewstoday.com/articles/311969.php,New molecular mechanism suggests that people with obesity or insulin resistance may more easily accumulate fat,Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Diabetes,,,1,3,3,5,4,5,4,5,4,4,5,5,,,,,,
269161,http://www.medicalnewstoday.com/articles/311242.php,"Overweight or not, mannose levels may indicate diabetes risk",Diabetes,Diabetes,Obesity / Weight Loss / Fitness,,,4,3,3,4,4,3,3,3,3,2,4,4,,,,,,
272922,http://www.medicalnewstoday.com/articles/315033.php,Sugar-free and 'diet' drinks no better for healthy weight than full sugar drinks,Nutrition / Diet,Nutrition / Diet,Obesity / Weight Loss / Fitness,,,2,5,1,4,4,4,3,4,2,3,4,2,,,,,,
44170,http://www.medicalnewstoday.com/articles/57467.php,Dementia Care Intervention Eases Burden For Families,Alzheimer's / Dementia,Alzheimer's / Dementia,Depression,,,3,1,2,4,4,4,5,2,4,5,4,4,,,,,,
270241,http://www.medicalnewstoday.com/articles/312332.php,Chronic kidney disease may cause diabetes,Urology / Nephrology,Urology / Nephrology,Diabetes,,,2,4,1,4,3,2,1,1,1,4,3,2,,,,,,
39811,http://www.medicalnewstoday.com/articles/52212.php,Increased Risk Of Depression With Breathing Problems During Sleep,Depression,Depression,Sleep / Sleep Disorders / Insomnia,,,2,2,3,4,4,2,5,2,3,4,5,3,,,,,,
16601,http://www.medicalnewstoday.com/articles/22556.php,"Depression Overtakes Back Pain for Incapacity Benefit Claims, UK",Depression,Depression,Back Pain,,,5,2,1,5,3,1,1,4,4,1,2,2,,,,,,
35110,http://www.medicalnewstoday.com/articles/46331.php,Novel Connection Found Between Biological Clock And Cancer,Cancer / Oncology,Cancer / Oncology,Genetics,,,4,5,4,5,5,3,2,1,3,4,1,4,,,,,,
273709,http://www.medicalnewstoday.com/articles/315827.php,Dramatic turn-around in cognitive abilities of children born to older mothers,Pediatrics / Children's Health,Pediatrics / Children's Health,Neurology / Neuroscience,,,3,2,4,2,3,4,4,1,4,1,1,2,,,,,,
267204,http://www.medicalnewstoday.com/articles/309239.php,How children perceive faces: Seven-year-olds show different brain activities than adults,Neurology / Neuroscience,Neurology / Neuroscience,Pediatrics / Children's Health,,,3,2,5,2,4,5,1,2,2,3,4,2,,,,,,
273607,http://www.medicalnewstoday.com/articles/315725.php,Study shows impact of dental benefits on meeting children's dental needs,Dentistry,Dentistry,Pediatrics / Children's Health,,,3,1,1,3,4,3,5,2,2,5,1,2,,,,,,
273565,http://www.medicalnewstoday.com/articles/315683.php,Study highlights importance of preventing weight gain in adults to reduce type 2 diabetes,Diabetes,Diabetes,Obesity / Weight Loss / Fitness,,,1,1,1,3,4,4,4,4,4,4,4,3,,,,,,
39899,http://www.medicalnewstoday.com/articles/52322.php,Death Rate Rises Despite Better Kidney Cancer Detection And Early Treatment,Cancer / Oncology,Cancer / Oncology,Urology / Nephrology,,,3,3,5,4,1,4,5,4,2,5,3,1,,,,,,
37893,http://www.medicalnewstoday.com/articles/49782.php,Diet Changes And Stress Management Training Effective In Slowing Or Halting The Spread Of Prostate Cancer,Prostate / Prostate Cancer,Prostate / Prostate Cancer,Cancer / Oncology,,,3,4,4,3,3,3,3,2,2,5,3,3,,,,,,
273758,http://www.medicalnewstoday.com/articles/315877.php,Can honey and cinnamon help treat acne?,Dermatology,Dermatology,Nutrition / Diet,,,4,3,4,5,3,2,5,3,3,2,4,4,,,,,,
271940,http://www.medicalnewstoday.com/articles/314045.php,"Regular intake of sugary beverages, but not diet soda, is associated with prediabetes",Diabetes,Diabetes,Nutrition / Diet,,,1,1,2,3,5,3,4,4,4,4,4,4,,,,,,
56425,http://www.medicalnewstoday.com/articles/72810.php,"Recovery For Elderly With Depression Improves With Medication, Says Pitt School Of Medicine Study",Seniors / Aging,Seniors / Aging,Depression,,,2,5,3,5,5,5,1,4,4,4,5,5,,,,,,
269080,http://www.medicalnewstoday.com/articles/311161.php,'Get children playing outdoors' to improve academic success and reduce obesity,Pediatrics / Children's Health,Pediatrics / Children's Health,Obesity / Weight Loss / Fitness,,,1,5,1,2,5,5,5,4,4,4,4,5,,,,,,
37877,http://www.medicalnewstoday.com/articles/49766.php,Carbonated Soft Drinks Are Not Linked To Esophageal Cancer,Cancer / Oncology,Cancer / Oncology,GastroIntestinal / Gastroenterology,,,1,3,2,4,3,5,3,4,4,2,3,4,,,,,,
8868,http://www.medicalnewstoday.com/articles/13445.php,Cannabis may have cancer busting properties,Cancer / Oncology,Cancer / Oncology,Alcohol / Addiction / Illegal Drugs,,,3,4,4,5,2,4,2,4,2,4,3,4,,,,,,
265017,http://www.medicalnewstoday.com/articles/307007.php,Sounds can help develop speech and gestures in children with autism,Pediatrics / Children's Health,Pediatrics / Children's Health,Autism,,,4,4,3,4,5,3,5,4,2,4,5,1,,,,,,
272641,http://www.medicalnewstoday.com/articles/314751.php,Sugar and sweeteners - how do they affect our appetite?,Nutrition / Diet,Nutrition / Diet,Obesity / Weight Loss / Fitness,,,3,4,1,3,5,4,4,4,3,4,4,3,,,,,,
272351,http://www.medicalnewstoday.com/articles/314458.php,Platypus venom could hold key to diabetes treatment,Diabetes,Diabetes,Endocrinology,,,4,5,5,3,4,4,4,4,5,3,2,3,,,,,,
34200,http://www.medicalnewstoday.com/articles/45156.php,Research Links Protein To Breast-cancer Migration,Breast Cancer,Breast Cancer,Cancer / Oncology,,,3,3,2,2,3,3,3,2,2,3,1,2,,,,,,
269322,http://www.medicalnewstoday.com/articles/311404.php,Antidiabetic effects discovered in the appetite hormone CART,Diabetes,Diabetes,Endocrinology,,,3,3,2,4,4,3,4,2,4,3,3,2,,,,,,
34534,http://www.medicalnewstoday.com/articles/45620.php,Can You Hear Me Now? Scientists Find Previously Unknown Receptors On Adult Stem Cells,Immune System / Vaccines,Immune System / Vaccines,Cancer / Oncology,,,1,3,4,2,4,3,3,4,1,1,4,1,,,,,,
31466,http://www.medicalnewstoday.com/articles/41638.php,Parents Need Help To Talk To Their Children About Cancer,Cancer / Oncology,Cancer / Oncology,Breast Cancer,,,3,2,1,3,1,3,4,4,4,2,4,3,,,,,,
37597,http://www.medicalnewstoday.com/articles/49403.php,Breast Cancer Survivors Change Lifestyle After Diagnosis - According To Their Beliefs,Breast Cancer,Breast Cancer,Cancer / Oncology,,,1,3,3,4,5,3,3,3,1,3,3,1,,,,,,
266660,http://www.medicalnewstoday.com/articles/308686.php,Bilingual baby brains show increased activity in executive function regions,Neurology / Neuroscience,Neurology / Neuroscience,Pediatrics / Children's Health,,,4,1,2,4,3,4,1,3,4,2,3,3,,,,,,
268573,http://www.medicalnewstoday.com/articles/310647.php,Preterm babies with low birth weight may be at increased risk of osteoporosis,Bones / Orthopedics,Bones / Orthopedics,Pediatrics / Children's Health,,,3,3,1,4,4,3,2,1,3,2,4,5,,,,,,
272091,http://www.medicalnewstoday.com/articles/314196.php,"Whole-fat milk consumption associated with leaner children, research finds",Pediatrics / Children's Health,Pediatrics / Children's Health,Nutrition / Diet,,,2,5,3,4,5,3,3,3,4,4,3,4,,,,,,
256893,http://www.medicalnewstoday.com/articles/298596.php,Genetic study finds association between reduced vitamin D and multiple sclerosis risk,Multiple Sclerosis,Multiple Sclerosis,Nutrition / Diet,,,3,3,2,2,4,3,1,3,1,4,3,2,,,,,,
273375,http://www.medicalnewstoday.com/articles/315491.php,"Diabetes accounts for more US deaths than previously thought, study shows",Diabetes,Diabetes,Public Health,,,1,4,3,2,5,3,2,4,3,2,4,3,,,,,,
36520,http://www.medicalnewstoday.com/articles/48067.php,"Heat Therapy For Cancer May Be Key To ""Lance Armstrong Effect""",Cancer / Oncology,Cancer / Oncology,Men's Health,,,4,2,2,4,3,2,2,2,2,4,5,2,,,,,,
19459,http://www.medicalnewstoday.com/articles/26226.php,Consumption of Red and Processed Meat Associated With Increased Colorectal Cancer Risk,Colorectal Cancer,Colorectal Cancer,Cancer / Oncology,,,2,2,1,2,2,4,1,1,1,3,3,1,,,,,,
34021,http://www.medicalnewstoday.com/articles/44919.php,Drug Attacks Prostate Cancer In Mouse Model By Destroying Its Blood Supply,Prostate / Prostate Cancer,Prostate / Prostate Cancer,Cancer / Oncology,,,4,5,5,4,5,3,2,1,1,4,2,1,,,,,,
267421,http://www.medicalnewstoday.com/articles/309462.php,Infants who eat rice products have higher arsenic concentrations,Pediatrics / Children's Health,Pediatrics / Children's Health,Nutrition / Diet,,,5,5,3,2,4,2,4,4,4,3,5,5,,,,,,
16626,http://www.medicalnewstoday.com/articles/22581.php,Race influences how we cope with cancer,Cancer / Oncology,Cancer / Oncology,Flu / Cold / SARS,,,5,5,3,3,5,4,1,2,4,2,3,3,,,,,,
267676,http://www.medicalnewstoday.com/articles/309726.php,Extreme heat and precipitation linked to more severe asthma requiring hospitalization,Respiratory / Asthma,Respiratory / Asthma,Pediatrics / Children's Health,,,2,1,1,4,4,2,4,3,1,5,4,4,,,,,,
256991,http://www.medicalnewstoday.com/articles/298694.php,The fear of trying new foods may have negative dietary implications,Nutrition / Diet,Nutrition / Diet,Pediatrics / Children's Health,,,5,2,1,5,2,4,4,5,4,1,1,5,,,,,,
40422,http://www.medicalnewstoday.com/articles/52981.php,Stroke Patients With Depression Often Not Treated For Depression,Depression,Depression,Stroke,,,2,5,4,3,5,2,3,5,5,1,1,2,,,,,,
267635,http://www.medicalnewstoday.com/articles/309685.php,Speakers of two dialects may share cognitive advantage with speakers of two languages,Neurology / Neuroscience,Neurology / Neuroscience,Pediatrics / Children's Health,,,4,1,1,4,5,3,3,5,3,4,5,4,,,,,,
272491,http://www.medicalnewstoday.com/articles/314600.php,Sweet potato wastewater may help weight loss,Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,5,4,3,5,5,4,3,3,3,3,3,3,,,,,,
269552,http://www.medicalnewstoday.com/articles/311634.php,Bicycling may help prevent type 2 diabetes,Diabetes,Diabetes,Obesity / Weight Loss / Fitness,,,2,4,5,3,4,3,2,4,4,2,4,4,,,,,,
271777,http://www.medicalnewstoday.com/articles/313880.php,Not eating enough in hospital: Risk factors are the same all over the world,Public Health,Public Health,Nutrition / Diet,,,5,4,2,5,5,3,3,3,5,4,3,5,,,,,,
33645,http://www.medicalnewstoday.com/articles/44406.php,Combination Therapy Shows Promising Results In Patients With Advanced Lung Cancer,Lung Cancer,Lung Cancer,Cancer / Oncology,,,3,2,3,4,4,4,2,1,1,3,1,1,,,,,,
32179,http://www.medicalnewstoday.com/articles/42517.php,"Suicide Awareness, Prevention Programs Needed In US Schools",Depression,Depression,Pediatrics / Children's Health,,,1,3,3,3,4,4,5,2,3,4,2,4,,,,,,
32517,http://www.medicalnewstoday.com/articles/42945.php,New Technique Offers Relief For Patients With Spinal Tumors,Cancer / Oncology,Cancer / Oncology,Bones / Orthopedics,,,4,3,4,4,4,3,3,1,4,2,1,1,,,,,,
1940,http://www.medicalnewstoday.com/articles/5625.php,Stop telling people to avoid sun - say cancer experts,Cancer / Oncology,Cancer / Oncology,Melanoma / Skin Cancer,,,5,3,5,5,4,4,2,4,3,1,3,1,,,,,,
272777,http://www.medicalnewstoday.com/articles/314887.php,Nutrition data review shows red meat has neutral effect on cardiovascular disease risk factors,Cardiovascular / Cardiology,Cardiovascular / Cardiology,Nutrition / Diet,,,3,5,4,4,4,4,2,4,2,2,4,3,,,,,,
36206,http://www.medicalnewstoday.com/articles/47646.php,Cancer Patients May Not Benefit From Dietary Modifications,Cancer / Oncology,Cancer / Oncology,Nutrition / Diet,,,3,3,4,2,4,2,1,4,4,2,5,3,,,,,,
256895,http://www.medicalnewstoday.com/articles/298598.php,School lunch study: Visual proof kids are tossing mandated fruits and veggies in trash,Nutrition / Diet,Nutrition / Diet,Pediatrics / Children's Health,,,3,2,2,3,2,2,4,3,4,2,1,2,,,,,,
271652,http://www.medicalnewstoday.com/articles/313752.php,Diabetes: Controlled glucose delivery could restore insulin production,Diabetes,Diabetes,Blood / Hematology,,,5,1,1,3,4,3,2,4,3,1,3,1,,,,,,
20886,http://www.medicalnewstoday.com/articles/28130.php,One-third of veterans recovering from stroke suffer from depression,Veterans / Ex-Servicemen,Stroke,Depression,,,2,4,2,2,2,2,3,1,4,4,3,3,,,,,,
789,http://www.medicalnewstoday.com/articles/4466.php,Genes may influence smoking cessation,Cancer / Oncology,Cancer / Oncology,Flu / Cold / SARS,,,4,5,1,4,4,4,4,2,4,4,3,4,,,,,,
269327,http://www.medicalnewstoday.com/articles/311409.php,Is Oatmeal Good for People with Diabetes?,Diabetes,Diabetes,Nutrition / Diet,,,1,1,1,3,1,1,4,1,3,4,1,2,,,,,,
257169,http://www.medicalnewstoday.com/articles/298879.php,"Sugar consumption having a 'devastating' effect on all of our dental health, claims charity",Nutrition / Diet,Nutrition / Diet,Dentistry,,,1,4,1,4,3,2,4,4,4,3,2,2,,,,,,
38269,http://www.medicalnewstoday.com/articles/50289.php,Key To New Treatment Of Depression: Ever-happy Mice May Hold Key,Depression,Depression,Bipolar,,,4,2,1,4,3,4,4,1,1,4,1,1,,,,,,
11359,http://www.medicalnewstoday.com/articles/16372.php,How to relieve pain for people with cancer,Cancer / Oncology,Cancer / Oncology,Pain / Anesthetics,,,1,2,1,4,3,3,3,3,2,3,3,2,,,,,,
5913,http://www.medicalnewstoday.com/articles/10023.php,Origin of cancer common in people with HIV points way to therapy,HIV / AIDS,HIV / AIDS,Lymphology/Lymphedema,Cancer / Oncology,,3,2,4,3,3,4,4,2,5,3,1,3,3,1,1,,,
267825,http://www.medicalnewstoday.com/articles/309883.php,Kids' eating habits highlight need for healthier lunchboxes,Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Pediatrics / Children's Health,Nutrition / Diet,,2,2,3,4,3,3,4,5,3,4,1,4,4,5,4,,,
266595,http://www.medicalnewstoday.com/articles/308620.php,Large whey protein breakfast may help manage type 2 diabetes,Diabetes,Diabetes,Nutrition / Diet,Obesity / Weight Loss / Fitness,,4,3,2,5,2,3,2,2,4,4,3,4,3,4,4,,,
272499,http://www.medicalnewstoday.com/articles/314608.php,"Social eating leads to overeating, especially among men",Nutrition / Diet,Nutrition / Diet,Obesity / Weight Loss / Fitness,Men's Health,,2,3,2,2,3,4,5,3,3,5,4,4,1,1,3,,,
273508,http://www.medicalnewstoday.com/articles/315626.php,Could a Mediterranean diet protect against ADHD?,Nutrition / Diet,Nutrition / Diet,ADHD / ADD,Pediatrics / Children's Health,,2,5,3,2,5,3,4,5,3,5,2,3,1,5,3,,,
273694,http://www.medicalnewstoday.com/articles/315812.php,Too much soda may raise children's risk of fatty liver disease,Liver Disease / Hepatitis,Liver Disease / Hepatitis,Nutrition / Diet,Pediatrics / Children's Health,,4,1,2,4,5,1,2,1,1,3,4,1,3,1,3,,,
58755,http://www.medicalnewstoday.com/articles/75662.php,Exercise Stimulates The Formation Of New Brain Cells,Depression,Depression,Neurology / Neuroscience,Obesity / Weight Loss / Fitness,,4,3,4,5,5,4,5,3,4,1,1,2,5,4,2,,,
273458,http://www.medicalnewstoday.com/articles/315574.php,Coffee and calories: How do your add-ins add up?,Nutrition / Diet,Nutrition / Diet,Obesity / Weight Loss / Fitness,Public Health,,2,2,1,2,4,3,4,5,4,3,5,4,2,1,3,,,
266544,http://www.medicalnewstoday.com/articles/308567.php,Study finds addiction associated with poor awareness of others,Alcohol / Addiction / Illegal Drugs,Alcohol / Addiction / Illegal Drugs,Sexual Health / STDs,Pediatrics / Children's Health,,1,2,2,1,2,4,5,4,3,3,3,3,2,3,3,,,
272788,http://www.medicalnewstoday.com/articles/314899.php,Cured meats can worsen asthma symptoms,Pulmonary System,Pulmonary System,Nutrition / Diet,Obesity / Weight Loss / Fitness,,5,1,2,4,1,4,1,1,1,5,3,4,5,3,4,,,
65646,http://www.medicalnewstoday.com/articles/84276.php,Chocolate Craving When Depressed: A Personality Marker,Depression,Depression,Nutrition / Diet,Psychology / Psychiatry,,3,3,4,3,5,4,3,5,4,4,5,4,3,5,2,,,
32946,http://www.medicalnewstoday.com/articles/43497.php,Male Skin Cancer Deaths Rise Significantly In UK,Melanoma / Skin Cancer,Melanoma / Skin Cancer,Men's Health,Cancer / Oncology,,2,2,3,3,2,4,3,3,2,2,3,3,3,3,2,,,
266475,http://www.medicalnewstoday.com/articles/308497.php,Teens are gambling online at a significantly higher rate than previously reported,Pediatrics / Children's Health,Pediatrics / Children's Health,Alcohol / Addiction / Illegal Drugs,Mental Health,,4,4,2,4,5,2,4,2,2,3,4,3,4,2,3,,,
268855,http://www.medicalnewstoday.com/articles/310932.php,New treatment offers hope for children with debilitating skin and muscle disease,Pediatrics / Children's Health,Pediatrics / Children's Health,Immune System / Vaccines,Dermatology,,5,5,4,4,4,5,2,4,3,2,4,4,2,3,2,,,
